word,part_of_speech,definition,example,synonyms
remuneration,n,something that remunerates; the act of paying for goods or services or to recompense for losses,wages were paid by check; they saved a quarter of all their earnings; adequate remuneration for his work; he wasted his pay on drink,"earnings, pay, salary, wage"
repast,n,the food served and eaten at one time,,meal
repine,v,express discontent,,
reprisal,n,a retaliatory action against an enemy in wartime,,
reproach,"n, v",express criticism towards; a mild rebuke or criticism; disgrace or shame,words of reproach; he brought reproach upon his family; The president reproached the general for his irresponsible behavior,upbraid
reprobate,"n, s, v",deviating from what is considered moral or right or proper or good; reject (documents) as invalid; express strong disapproval of; a person without moral scruples; abandon to eternal damnation,a perverted sense of loyalty; the reprobate conduct of a gambling aristocrat; depraved criminals; We condemn the racism in South Africa; These ideas were reprobated; God reprobated the unrepenting sinner,"condemn, decry, depraved, excoriate, miscreant, objurgate, perverse, perverted"
repudiate,v,"refuse to recognize or pay; cast off; refuse to acknowledge, ratify, or recognize as valid; reject as untrue, unfounded, or unjust",The parents repudiated their son; repudiate a debt; The woman repudiated the divorce settlement; She renounced her husband; She repudiated the accusations,"disown, renounce"
repugnant,s,offensive to the mind,the most repulsive character in recent novels; repulsive behavior; the obscene massacre at Wounded Knee; an abhorrent deed; morally repugnant customs,"abhorrent, detestable, obscene, repulsive"
requite,v,make repayment for or return something,,repay
resolve,"n, v",a formal expression by a meeting; agreed to by a vote; understand the meaning of; make clearly visible; cause to go into a solution; reach a conclusion after a discussion or deliberation; find the solution; reach a decision; bring to an end; settle conclusively; the trait of being resolute,it was his unshakeable resolution to finish the work; can this image be resolved?; The case was decided; solve an equation; he resolved never to drink again; solve for x; The judge decided the case in favor of the plaintiff; The question concerning the meaning of life cannot be answered; his resoluteness carried him through the battle; The recipe says that we should dissolve a cup of sugar in two cups of water; The father adjudicated when the sons were quarreling over their inheritance,"adjudicate, answer, break up, conclude, decide, declaration, dissolve, firmness, firmness of purpose, purpose, resoluteness, resolution, settle, solve"
respite,"n, v","a (temporary) relief from harm or discomfort; an interruption in the intensity or amount of something; a pause from doing something (as work); postpone the punishment of a convicted criminal, such as an execution; a pause for relaxation; the act of reprieving; postponing or remitting punishment",we took a 10-minute break; he took time out to recuperate; people actually accomplish more when they take time for short rests,"abatement, break, hiatus, recess, relief, reprieve, rest, rest period, suspension, time out"
restive,s,being in a tense state; impatient especially under restriction or delay,the government has done nothing to ease restrictions and manufacturers are growing restive,"edgy, high-strung, highly strung, jittery, jumpy, nervy, overstrung, uptight"
retrenchment,n,the reduction of expenditures in order to become financially stable; entrenchment consisting of an additional interior fortification to prolong the defense,,"curtailment, downsizing"
retribution,n,a justly deserved penalty; the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life; --Romans 12:19; --James Garfield; the act of correcting for your wrongdoing,"he swore vengeance on the man who betrayed him; Vengeance is mine; I will repay, saith the Lord; For vengeance I would do nothing. This nation is too great to look for mere revenge; the swiftness of divine retribution","payback, requital, vengeance"
revelatory,s,prophetic of devastation or ultimate doom; (usually followed by `of') pointing out or revealing clearly,actions indicative of fear,"apocalyptic, apocalyptical, indicative, indicatory, significative, suggestive"
rhapsodize,v,recite a rhapsody; say (something) with great enthusiasm,,rhapsodise
ribald,"n, s",humorously vulgar; a ribald person; someone who uses vulgar and offensive language,bawdy songs; off-color jokes; ribald language,"bawdy, off-color"
riposte,"n, v",(fencing) a counterattack made immediately after successfully parrying the opponents lunge; answer back; a quick reply to a question or remark (especially a witty or critical one); make a return thrust,his opponent riposted; it brought a sharp rejoinder from the teacher,"come back, comeback, counter, rejoin, rejoinder, repay, replication, retort, return"
robin,n,small Old World songbird with a reddish breast; large American thrush having a rust-red breast and abdomen,,"American robin, Erithacus rubecola, Old World robin, Turdus migratorius, redbreast, robin redbreast"
round,"s, v, n, r, a","wind around; move along a circular course; attack in speech or writing; pronounce with rounded lips; a crosspiece between the legs of a chair; make round; a partsong in which voices follow each other; one voice starts and others join in one after another until all are singing different parts of the song at the same time; any circular or rotating mechanism; become round, plump, or shapely; express as a round number; from beginning to end; throughout; (of sounds) full and rich; (mathematics) expressed to the nearest integer, ten, hundred, or thousand; a charge of ammunition for a single shot; a regular route for a sentry or policeman; the usual activities in your day; a cut of beef between the rump and the lower leg; the course along which communications spread; the activity of playing 18 holes of golf; bring to a highly developed, finished, or refined state; an outburst of applause; (often plural) a series of professional calls (usually in a set order); (sports) a division during which one team is on the offensive; a serving to each of a group (usually alcoholic); an interval during which a recurring sequence of events occurs; having a circular shape",frigid weather the year around; there was a round of applause; round the bend; polish your social manners; the postman's rounds; round off the amount; orotund tones; in the old days a policeman walked a beat and knew all his people by name; the never-ending cycle of the seasons; he ordered a second round; The editors of the left-leaning paper attacked the new House Speaker; a round of golf takes about 4 hours; the doctor goes on his rounds first thing every morning; in round numbers; the story is going the rounds in Washington; the doctor made his rounds; they enjoyed singing rounds; pear-shaped vowels; The young woman is fleshing out; the machine punched out metal circles; round the edges; the rotund and reverberating phrase; we enjoyed our round of the local bars; It rains all year round on Skye,"around, assail, assault, attack, beat, bout, brush up, circle, circular, cycle, daily round, fill out, flesh out, labialise, labialize, lash out, one shot, orotund, pear-shaped, polish, polish up, rhythm, rotund, round down, round of drinks, round of golf, round off, round out, rung, snipe, stave, troll, turn, unit of ammunition"
row,"n, v","an arrangement of objects or people side by side in a line; propel with oars; a linear array of numbers, letters, or symbols side by side; (construction) a layer of masonry; a continuous chronological succession without an interruption; the act of rowing as a sport; an angry dispute; a long continuous strip (usually running horizontally)",rows of barbed wire protected the trenches; row the boat across the lake; they had a quarrel; they had words; a course of bricks; a row of chairs; a mackerel sky filled with rows of clouds; they won the championship three years in a row,"course, dustup, quarrel, rowing, run-in, words, wrangle"
salacious,s,characterized by lust; suggestive of or tending to moral looseness,prurient thoughts; prurient literature; obscene telephone calls; her sensuous grace roused his lustful nature; salacious limericks; lewd whisperings of a dirty old man; eluding the lubricious embraces of her employer; a salacious rooster of a little man; an indecent gesture,"lewd, lubricious, lustful, obscene, prurient, raunchy"
salutary,s,tending to promote physical well-being; beneficial to health,beneficial effects of a balanced diet; a good night's sleep; the salutary influence of pure air,good
salvo,n,an outburst resembling the discharge of firearms or the release of bombs; a sudden outburst of cheers; rapid simultaneous discharge of firearms,there was a salvo of approval; our fusillade from the left flank caught them by surprise,"burst, fusillade, volley"
sangfroid,,,,
sanguinary,s,marked by eagerness to resort to violence and bloodshed; ; ; -G.W.Johnson; accompanied by bloodshed,went after the collaborators with a sanguinary fury that drenched the land with blood; bloody-minded tyrants; bloodthirsty yells; this bitter and sanguinary war,"bloodthirsty, bloody-minded, butcherly, gory, sanguineous, slaughterous"
sate,v,fill to satisfaction,I am sated,"fill, replete, satiate"
scintillating,"s, v",physics: fluoresce momentarily when struck by a charged particle or high-energy photon; brilliantly clever; marked by high spirits or excitement; give off; reflect brightly; having brief brilliant points or flashes of light; emit or reflect light in a flickering manner; be lively or brilliant or exhibit virtuosity,Does a constellation twinkle more brightly than a single star?; the phosphor fluoresced; a row of sparkly cheerleaders; his fertile effervescent mind; shop window full of glittering Christmas trees; scintillating personality; his playing coruscated throughout the concert hall; the scintillating stars; A scintillating conversation; bugle beads all aglitter; scintillating wit; Unquarried marble sparkled on the hillside; a play full of scintillating dialogue; glinting water; `glistering' is an archaic term; glinting eyes; the substance scintillated sparks and flashes; a dress with sparkly sequins; glittery costume jewelry; The musical performance sparkled; scintillant mica; his glittering eyes were cold and malevolent,"aglitter, bubbling, coruscant, coruscate, effervescent, frothy, fulgid, glinting, glistering, glittering, glittery, scintillant, scintillate, sparkle, sparkly, twinkle, winkle"
sclerotic,a,of or relating to the sclera of the eyeball; relating to or having sclerosis; hardened,a sclerotic patient; sclerotic tissue,sclerosed
scofflaw,n,one who habitually ignores the law and does not answer court summonses,,
screed,n,an accurately levelled strip of material placed on a wall or floor as guide for the even application of plaster or concrete; a long monotonous harangue; a long piece of writing,,
scruple,"n, v",an ethical or moral principle that inhibits action; have doubts about; a unit of apothecary weight equal to 20 grains; hesitate on moral grounds; raise scruples; uneasiness about the fitness of an action,He lied and did not even scruple about it; The man scrupled to perjure himself,"misgiving, qualm"
scrupulous,"s, a",having scruples; arising from a sense of right and wrong; principled; characterized by extreme care and great effort,less scrupulous producers sent bundles that were deceptive in appearance; painstaking research; conscientious application to the work at hand; scrupulous attention to details,"conscientious, painstaking"
sedition,n,an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government,,
sedulous,s,marked by care and persistent effort,assiduous research; sedulous pursuit of legal and moral principles; her assiduous attempts to learn French,assiduous
self styled,,,,
self-styled,s,as claimed by and for yourself often without justification,the self-styled `doctor' has no degree of any kind,soi-disant
sententious,s,concise and full of meaning; ; - Hervey Allen; abounding in or given to pompous or aphoristic moralizing; - Kathleen Barnes,too often the significant episode deteriorates into sententious conversation; the peculiarly sardonic and sententious style in which Don Luis composed his epigrams; welcomed her pithy comments,pithy
sephulcral,,,,
shoehorn,"n, v",a device used for easing the foot into a shoe; fit for a specific purpose even when not well suited,,
sidle,v,move unobtrusively or furtively; move sideways,The young man began to sidle near the pretty girl sitting on the log,sashay
simulacrum,n,a representation of a person (especially in the form of sculpture); an insubstantial or vague semblance,the emperor's tomb had his image carved in stone; the coin bears an effigy of Lincoln,"effigy, image"
sinecure,n,a benefice to which no spiritual or pastoral duties are attached; an office that involves minimal duties,,
sinewy,"s, a",(of a person) possessing physical strength and weight; rugged and powerful; consisting of tendons or resembling a tendon; (of meat) full of sinews; especially impossible to chew,powerful arms; a hefty athlete; a muscular boxer,"brawny, fibrous, hefty, muscular, powerful, stringy, tendinous, unchewable"
sinuous,s,curved or curving in and out,wiggly lines,"sinuate, wiggly"
skein,n,coils of worsted yarn,,
skullduggery,n,verbal misrepresentation intended to take advantage of you in some way,,"hanky panky, hocus-pocus, jiggery-pokery, skulduggery, slickness, trickery"
slake,v,satisfy (thirst); make less active or intense; cause to heat and crumble by treatment with water,The cold water quenched his thirst; slack lime,"abate, allay, assuage, quench, slack"
slatternly,s,characteristic of or befitting a slut or slattern; used especially of women,,"blowsy, blowzy, sluttish"
slovenly,s,negligent of neatness especially in dress and person; habitually dirty and unkempt,filled the door with her frowzy bulk; frowzy white hair; slovenly appearance,"frowsy, frowzy"
smattering,"n, v",to talk foolishly; a slight or superficial understanding of a subject; speak with spotty or superficial knowledge; a small number or amount; work with in an amateurish manner,She dabbles in astronomy; She smatters Russian; He plays around with investments but he never makes any money; only a handful of responses were received; The two women babbled and crooned at the baby,"babble, blather, blether, blither, dabble, handful, play around, smatter"
snub,"n, s, v",reject outright and bluntly; a refusal to recognize someone you know; refuse to acknowledge; unusually short; an instance of driving away or warding off,a snub nose; the snub was clearly intentional; She cut him dead at the meeting; She snubbed his proposal,"cold shoulder, cut, disregard, ignore, rebuff, repel, repulse"
solecism,n,a socially awkward or tactless act,,"faux pas, gaffe, gaucherie, slip"
solicitous,s,showing hovering attentiveness; full of anxiety and concern,solicitous about her health; solicitous parents; solicitous about the future; made solicitous inquiries about our family,
solicitude,n,a feeling of excessive concern,,solicitousness
somnolent,s,inclined to or marked by drowsiness,slumberous (or slumbrous) eyes; the sound had a somnolent effect; `slumbery' is archaic,"slumberous, slumbery, slumbrous"
sophist,n,someone whose reasoning is subtle and often specious; any of a group of Greek philosophers and teachers in the 5th century BC who speculated on a wide range of subjects,,casuist
sordid,s,foul and run-down and repulsive; unethical or dishonest; meanly avaricious and mercenary; morally degraded; ; ; ; - Seattle Weekly; - James Joyce,the seamy side of life; a flyblown bar on the edge of town; sordid shantytowns; sordid material interests; the sordid details of his orgies stank under his very nostrils; squalid living conditions; sleazy characters hanging around casinos; a seedy district; dirty police officers; sordid avarice; the squalid atmosphere of intrigue and betrayal; sleazy storefronts with...dirt on the walls; a squalid overcrowded apartment in the poorest part of town; a sordid political campaign,"dirty, flyblown, seamy, seedy, sleazy, squalid"
spasmodic,s,affected by involuntary jerky muscular contractions; resembling a spasm; occurring in spells and often abruptly,fitful bursts of energy; spasmodic rifle fire; his body made a spasmodic jerk; convulsive motions; spastic movements,"convulsive, fitful, spastic"
spate,n,a sudden forceful flow; (often followed by `of') a large number or amount or extent; the occurrence of a water flow resulting from sudden rain or melting snow,a slew of journalists; see the rest of the winners in our huge passel of photos; a deal of trouble; he made a mint on the stock market; a lot of money; it must have cost plenty; a batch of letters; a wad of money,"batch, deal, flock, freshet, good deal, great deal, hatful, heap, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, pile, plenty, pot, quite a little, raft, rush, sight, slew, stack, surge, tidy sum, upsurge, wad"
specious,s,based on pretense; deceptively pleasing; plausible but false,a meretricious argument; spurious inferences; a specious claim; meretricious praise; the gilded and perfumed but inwardly rotten nobility,"gilded, meretricious, spurious"
spendthrift,"n, s",someone who spends money prodigally; recklessly wasteful,prodigal in their expenditures,"extravagant, prodigal, profligate, scattergood, spend-all, spender"
splenetic,"s, a",of or relating to the spleen; very irritable,he became prickly and spiteful; witty and waspish about his colleagues; bristly exchanges between the White House and the press,"bristly, lienal, prickly, splenic, waspish"
sportive,"s, a",given to merry frolicking; relating to or interested in sports,frolicsome students celebrated their graduation with parties and practical jokes,"coltish, frolicky, frolicsome, rollicking"
spurn,v,reject with contempt,She spurned his advances,"disdain, freeze off, pooh-pooh, reject, scorn, turn down"
squelch,"n, v","walk through mud or mire; a crushing remark; to compress with violence, out of natural shape or condition; an electric circuit that cuts off a receiver when the signal becomes weaker than the noise; make a sucking sound; suppress or crush completely",squelch any sign of dissent; squeeze a lemon; quench a rebellion; We had to splosh across the wet meadow; crush an aluminum can,"crush, mash, put-down, quell, quench, slop, slosh, splash, splosh, squash, squeeze, squelch circuit, squelcher, squish, takedown"
staid,s,characterized by dignity and propriety,,sedate
stalwart,"n, s",used especially of persons; a person who is loyal to their allegiance (especially in times of revolt); having rugged physical strength; inured to fatigue or hardships; dependable,sturdy young athletes; a stouthearted fellow who had an active career in the army; proud of her tall stalwart son; a stalwart knight; stout hearts; the stalwart citizens at Lexington; a stalwart supporter of the UN; stout seamen; hardy explorers of northern Canada,"hardy, loyalist, stout, stouthearted, sturdy"
start,"n, v","a signal to begin (as in a race); begin an event that is implied and limited by the nature or inherent function of the direct object; get off the ground; get going or set in motion; move or jump suddenly, as if in surprise or alarm; begin work or acting in a certain capacity, office or job; begin or set in motion; a turn to be a starter (in a game at the beginning); a sudden involuntary movement; a line indicating the location of the start of a race or a game; the time at which something is supposed to begin; play in the starting lineup; the advantage gained by beginning early (as in a race); bulge outward; have a beginning characterized in some specified way; the beginning of anything; the act of starting something; leave; have a beginning, in a temporal, spatial, or evaluative sense; bring into being; take the first step or steps in carrying out an action; set in motion, cause to start","Let's get down to work now; his starting meant that the coach thought he was one of their best linemen; The U.S. started a war in the Middle East; the runners awaited the start; he awoke with a start; The novel begins with a murder; he got his start because one of the regular pitchers was in the hospital; The DMZ begins right over the hill; begin a cigar; She startled when I walked into the room; start up the computer; start a new job; We simply could not start the engine; We began working at dawn; She started the soup while it was still hot; Prices for these homes start at $250,000; The blood shed started when the partisans launched a surprise attack; Start a foundation; He began early in the day; Get working as soon as the sun rises!; begin a new chapter in your life; Who started this company?; His eyes popped; The first tourists began to arrive in Cambodia; they got an early start; I start at eight in the morning; Take up a position; My property begins with the three maple trees; The semester begins with a convocation ceremony; The second movement begins after the Allegro; with an hour's start he will be hard to catch; He initiated a new program; The Iraqis began hostilities; The family took off for Florida; the starting signal was a green light; Who will start?; Ready, set, go!; he was responsible for the beginning of negotiations; We began the new semester; it was off to a good start; We started physics in 10th grade; We embarked on an exciting enterprise; I start my day with a good breakfast; Her day begins with a workout; The afternoon session begins at 4 PM; she knew from the get-go that he was the man for her","begin, beginning, bug out, bulge, bulge out, come out, commence, commencement, depart, embark on, first, get, get down, get going, get-go, go, head start, initiate, jump, kickoff, lead off, offset, originate, outset, part, pop, pop out, protrude, scratch, scratch line, set about, set forth, set off, set out, showtime, start out, start up, starting, starting line, starting signal, starting time, startle, take off, take up"
steel,"n, v","get ready for something difficult or unpleasant; a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard; an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range; knife sharpener consisting of a ridged steel rod; cover, plate, or edge with steel",,"blade, brand, nerve, sword"
stem,"n, v","the tube of a tobacco pipe; a slender or elongated structure that supports a plant or fungus or a plant part or plant organ; grow out of, have roots in, originate in; (linguistics) the form of a word after all affixes are removed; a turn made in skiing; the back of one ski is forced outward and the other ski is brought parallel to it; remove the stem from; cylinder forming a long narrow part of something; cause to point inward; front part of a vessel or aircraft; stop the flow of a liquid","staunch the blood flow; stem the tide; for automatic natural language processing, the words must be stemmed; The increase in the national debt stems from the last war; he pointed the bow of the boat toward the finish line; stem your skis; thematic vowels are part of the stem","base, bow, fore, halt, prow, radical, root, root word, shank, stalk, stanch, staunch, stem turn, theme"
stentorian,s,used of the voice,,booming
stolid,s,having or revealing little emotion or sensibility; not easily aroused or excited; ; - Nordhoff & Hall; -Virginia Woolf,"he remained impassive, showing neither interest in nor concern for our plight; her impassive remoteness; her face showed nothing but stolid indifference; a silent stolid creature who took it all as a matter of course",impassive
storied,s,having stories as indicated; having an illustrious past,a six-storied building,"celebrated, historied, storeyed"
stratagem,n,an elaborate or deceitful scheme contrived to deceive or evade; a maneuver in a game or conversation,his testimony was just a contrivance to throw us off the track,"contrivance, dodge, gambit, ploy"
stricture,n,abnormal narrowing of a bodily canal or passageway; severe criticism,,stenosis
stringent,s,demanding strict attention to rules and procedures,stringent safety measures; rigorous discipline; tight security,"rigorous, tight"
stygian,s,dark and dismal as of the rivers Acheron and Styx in Hades; ; -Wordsworth; hellish; - Milton,in the depths of an Acheronian forest; upon those roseate lips a Stygian hue; Hence loathed Melancholy.../In Stygian cave forlorn,"Acheronian, Acherontic"
stymie,"n, v",a thwarting and distressing situation; a situation in golf where an opponent's ball blocks the line between your ball and the hole; hinder or prevent the progress or accomplishment of,His brother blocked him at every turn,"block, blockade, embarrass, hinder, obstruct, stymy"
stymie or stymy,,,,
subsume,v,consider (an instance of something) as part of a general rule or principle; contain or include,This new system subsumes the old one,colligate
suffuse,v,"to become overspread as with a fluid, a colour, a gleam of light; cause to spread or flush or flood through, over, or across",His whole frame suffused with a cold dew; The sky was suffused with a warm pink color,perfuse
sullen,s,showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven; darkened by clouds,"a dark scowl; a sullen crowd; the proverbially dour New England Puritan; a sour temper; a saturnine, almost misanthropic young genius; a morose and unsociable manner; a heavy sky; a glum, hopeless shrug; he sat in moody silence","dark, dour, glowering, glum, heavy, lowering, moody, morose, saturnine, sour, threatening"
superannuated,"s, v",declare to be obsolete; too old to be useful; - Anthony Trollope; retire or become ineligible because of old age or infirmity; become obsolete; old; no longer valid or fashionable; retire and pension (someone) because of age or physical inability,superannuated laws; obsolete words; He left the house...for the support of twelve superannuated wool carders; out-of-date ideas; an obsolete locomotive; outdated equipment,"out-of-date, outdated, over-the-hill, overage, overaged, superannuate"
supercilious,s,having or showing arrogant superiority to and disdain of those one views as unworthy; ; ; ; ; ; ; - W.L.Shirer; expressive of contempt,curled his lip in a supercilious smile; makes many a sharp comparison but never a mean or snide one; his lordly manners were offensive; very sniffy about breaches of etiquette; haughty aristocrats; walked with a prideful swagger; some economists are disdainful of their colleagues in other social disciplines; his mother eyed my clothes with a supercilious air; spoke in a sneering jeering manner; a more swaggering mood than usual,"disdainful, haughty, imperious, lordly, overbearing, prideful, sneering, snide, sniffy, swaggering"
supine,s,offering no resistance; ; - Theodore Roosevelt; lying face upward,"No other colony showed such supine, selfish helplessness in allowing her own border citizens to be mercilessly harried; resistless hostages","resistless, resupine, unresisting"
supposition,n,a hypothesis that is taken for granted; the cognitive process of supposing; a message expressing an opinion based on incomplete evidence,any society is built upon certain assumptions,"assumption, conjecture, guess, hypothesis, speculation, supposal, surmisal, surmise"
surety,n,one who provides a warrant or guarantee to another; a prisoner who is held by one party to insure that another party will meet specified terms; property that your creditor can claim in case you default on your obligation; a guarantee that an obligation will be met; something clearly established,bankers are reluctant to lend without good security,"guarantor, hostage, security, warranter, warrantor"
surfeit,"n, v",indulge (one's appetite) to satiety; the quality of being so overabundant that prices fall; supply or feed to surfeit; eating until excessively full; the state of being more than full,,"cloy, excess, glut, overabundance, oversupply, repletion"
tabulation,n,the act of putting into tabular form; information set out in tabular form,the tabulation of the results,tabular matter
taciturn,a,habitually reserved and uncommunicative,,
tact,n,consideration in dealing with others and avoiding giving offense,,tactfulness
tawdry,s,cheap and shoddy; - Judith Crist; tastelessly showy,cheapjack moviemaking...that feeds on the low taste of the mob; a flashy ring; garish colors; a meretricious yet stylish book; tawdry ornaments; a gaudy costume; a flash car; loud sport shirts,"brassy, cheap, cheapjack, flash, flashy, garish, gaudy, gimcrack, loud, meretricious, shoddy, tacky, tatty, trashy"
telos,,,,
temerity,n,fearless daring,,"audaciousness, audacity"
temperance,n,the trait of avoiding excesses; abstaining from excess; the act of tempering,,"moderation, sobriety"
tempered,"a, v","restrain; adjusted or attuned by adding a counterbalancing element; bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling; adjust the pitch (of pianos); harden by reheating and cooling in oil; made hard or flexible or resilient especially by heat treatment; make more temperate, acceptable, or suitable by adding something else; moderate",tempered glass; temper glass; criticism tempered with kindly sympathy; temper steel; a sword of tempered steel; she tempered her criticism,"anneal, chasten, harden, hardened, moderate, mollify, normalize, season, temper, toughened, treated"
tempestuous,s,(of the elements) as if showing violent anger; characterized by violent emotions or behavior,furious winds; angry clouds on the horizon; the raging sea; a stormy marriage; a stormy argument,"angry, furious, raging, stormy, wild"
tendentious,s,having or marked by a strong tendency especially a controversial one,distinguishing between verifiable fact and tendentious assertion; a tendentious account of recent elections,tendencious
tender,"n, s, a, v","(used of boats) inclined to heel over easily under sail; hurting; car attached to a locomotive to carry fuel and water; having or displaying warmth or affection; make tender or more tender as by marinating, pounding, or applying a tenderizer; ship that usually provides supplies to other ships; something that can be used as an official medium of payment; given to sympathy or gentleness or sentimentality; easy to cut or chew; make a tender of; in legal settlements; (of plants) not hardy; easily killed by adverse growing condition; propose a payment; physically untoughened; a boat for communication between ship and shore; offer or present for acceptance; someone who waits on or tends to or attends to the needs of another; young and immature; a formal proposal to buy at a specified price",a tender smile; The Swiss dealer offered $2 million for the painting; the tender spot on his jaw; tender beef; tender loving care; tender memories; tender green shoots; a tender mother; tender feet; at a tender age; a warm embrace; a tender glance; tenderize meat; fond of his nephew; a tender heart; affectionate children; a fond embrace,"affectionate, attendant, attender, bid, crank, cranky, cutter, fond, legal tender, lovesome, offer, pinnace, raw, sensitive, ship's boat, sore, stamp, supply ship, tenderise, tenderize, tippy, untoughened, warm"
toothsome,"s, a",having strong sexual appeal; acceptable to the taste or mind; extremely pleasing to the sense of taste,a palatable solution to the problem; a toothsome blonde in a tight dress; a red-hot mama; palatable food; a voluptuous woman; juicy barmaids,"delectable, delicious, juicy, luscious, palatable, pleasant-tasting, red-hot, scrumptious, voluptuous, yummy"
torpid,s,slow and apathetic; in a condition of biological rest or suspended animation,dormant buds; a mind grown torpid in old age; a sluggish worker; she was fat and inert; torpid frogs; a hibernating bear,"dormant, hibernating, inert, sluggish, soggy"
torpor,n,a state of motor and mental inactivity with a partial suspension of sensibility; inactivity resulting from lethargy and lack of vigor or energy,he fell into a deep torpor,"listlessness, torpidity, torpidness"
tout,"n, v",show off; one who sells advice about gambling or speculation (especially at the racetrack); advertize in strongly positive terms; someone who buys tickets to an event in order to resell them at a profit; someone who advertises for customers in an especially brazen way,This product was touted as a revolutionary invention,"blow, bluster, boast, brag, gas, gasconade, shoot a line, swash, ticket tout, tipster, touter, vaunt"
transmogrify,v,change completely the nature or appearance of,"The treatment and diet transfigured her into a beautiful young woman; Jesus was transfigured after his resurrection; In Kafka's story, a person metamorphoses into a bug","metamorphose, transfigure"
transmute,v,"change or alter in form, appearance, or nature; change in outward structure or looks; alter the nature of (elements)",He transformed into a monster; This experience transformed her completely; She transformed the clay into a beautiful sculpture; transubstantiate one element into another; The salesman metamorphosed into an ugly beetle,"metamorphose, transform, transubstantiate"
trappings,n,"stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse; (usually plural) accessory wearing apparel",,"caparison, furnishing, housing, trapping"
travail,"n, v",use of physical or mental energy; hard work; concluding state of pregnancy; from the onset of contractions to the birth of a child; work hard,they managed only with great exertion; he got an A for effort; She was digging away at her math homework; she was in labor for six hours; Lexicographers drudge all day long,"childbed, confinement, dig, drudge, effort, elbow grease, exertion, fag, grind, labor, labour, lying-in, moil, parturiency, sweat, toil"
travesty,"n, v","a composition that imitates or misrepresents somebody's style, usually in a humorous way; a comedy characterized by broad satire and improbable situations; make a travesty of",,"burlesque, charade, farce, farce comedy, lampoon, mockery, parody, pasquinade, put-on, sendup, spoof, takeoff"
treacly,s,overly sweet,,"cloying, saccharine, syrupy"
trenchant,s,"having keenness and forcefulness and penetration in thought, expression, or intellect; characterized by or full of force and vigor; clearly or sharply defined to the mind",trenchant distinctions between right and wrong; searching insights; trenchant criticism; Claudius was the first to invade Britain with distinct...intentions of conquest; a trenchant argument; clear-cut evidence of tampering; a hard-hitting expose,"clear-cut, distinct, hard-hitting, searching"
triapse,,,,
trifling,"n, s, v",consider not very seriously; not worth considering; act frivolously; the deliberate act of delaying and playing instead of working; waste time; spend one's time idly or inefficiently,He is trifling with her; a trifling matter; She plays with the thought of moving to Tasmania; he considered the prize too paltry for the lives it must cost; piffling efforts,"dalliance, dally, dawdling, frivol, negligible, paltry, piddle, piddle away, play, trifle, wanton, wanton away"
trite,s,repeated too often; overfamiliar through overuse,the trite metaphor `hard as nails'; repeating threadbare jokes; bromidic sermons; parroting some timeworn axiom; his remarks were trite and commonplace; a stock answer; hackneyed phrases,"banal, commonplace, hackneyed, old-hat, shopworn, stock, threadbare, timeworn, tired, well-worn"
truculence,n,obstreperous and defiant aggressiveness,,truculency
truculent,s,defiantly aggressive,a truculent speech against the new government,
tumid,s,of sexual organs; stiff and rigid; ostentatiously lofty in style; abnormally distended especially by fluids or gas,a man given to large talk; hungry children with bloated stomachs; he had a grossly distended stomach; swollen hands; tumid political prose; eyes with puffed (or puffy) lids; puffy tumid flesh; tumescent tissue,"bombastic, declamatory, erect, intumescent, large, orotund, puffy, tumescent, turgid"
turbid,s,(of liquids) clouded as with sediment,muddy coffee; a cloudy liquid; murky waters,"cloudy, mirky, muddy, murky"
turgid,s,ostentatiously lofty in style; abnormally distended especially by fluids or gas,a man given to large talk; hungry children with bloated stomachs; he had a grossly distended stomach; swollen hands; tumid political prose; eyes with puffed (or puffy) lids; puffy tumid flesh; tumescent tissue,"bombastic, declamatory, intumescent, large, orotund, puffy, tumescent, tumid"
turpitude,n,a corrupt or depraved or degenerate act or practice,the various turpitudes of modern society,depravity
tyro,n,someone new to a field or activity,,"beginner, initiate, novice, tiro"
umbrage,n,a feeling of anger caused by being offended,he took offence at my question,"offence, offense"
uncompromising,a,not making concessions,uncompromising honesty; took an uncompromising stance in the peace talks,"inflexible, sturdy"
unconscionable,s,lacking a conscience; greatly exceeding bounds of reason or moderation,"an unconscionable liar; usurious interest rate; extortionate prices; unconscionable spending; exorbitant rent; brash, unprincipled, and conscienceless; spends an outrageous amount on entertainment; a conscienceless villain","conscienceless, exorbitant, extortionate, outrageous, steep, usurious"
undergird,v,lend moral support to; make secure underneath,undergird the ship,brace up
underwrite,v,protect by insurance; guarantee financial support of,The opera tour was subvented by a bank; The insurance won't cover this,"cover, insure, subvent, subvention"
