word,part_of_speech,definition,example,synonyms
buttressing,"n, v",a support usually of stone or brick; supports the wall of a building; make stronger or defensible; reinforce with a buttress,buttress your thesis; Buttress the church,buttress
byzantine,"n, s, a",a native or inhabitant of Byzantium or of the Byzantine Empire; of or relating to the Eastern Orthodox Church or the rites performed in it; of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium; highly complex or intricate and occasionally devious; ; ; ; ; ; ; ; - Sir Walter Scott,"got his way by labyrinthine maneuvering; the plot was too involved; a knotty problem; convoluted legal language; Byzantine methods for holding on to his chairmanship; Oh, what a tangled web we weave; Byzantine monks; Byzantine rites; tortuous negotiations lasting for months; tortuous legal procedures; convoluted reasoning; the Byzantine tax structure","convoluted, involved, knotty, tangled, tortuous"
cadaverous,"s, a",very thin especially from disease or hunger or cold; of or relating to a cadaver or corpse,kept life in his wasted frame only by grim concentration; a nightmare population of gaunt men and skeletal boys; eyes were haggard and cavernous; we had long anticipated his cadaverous end; small pinched faces; emaciated bony hands,"bony, cadaveric, emaciated, gaunt, haggard, pinched, skeletal, wasted"
callow,s,young and inexperienced,an unfledged lawyer; a fledgling enterprise; a fledgling skier,"fledgling, unfledged"
campy,s,providing sophisticated amusement by virtue of having artificially (and vulgarly) mannered or banal or sentimental qualities,campy Hollywood musicals of the 1940's; they played up the silliness of their roles for camp effect,camp
capacious,s,large in capacity,she carried a capacious bag,
carping,"n, v",raise trivial objections; persistent petty and unjustified criticism,,"carp, cavil, chicane, faultfinding"
cataclysm,n,a sudden violent change in the earth's surface; an event resulting in great loss and misfortune,the whole city was affected by the irremediable calamity; the earthquake was a disaster,"calamity, catastrophe, disaster, tragedy"
catholic,"n, s, a",of or relating to or supporting Catholicism; free from provincial prejudices or attachments; a member of a Catholic church,the Catholic Church; catholic in one's tastes,
cavail,,,,
cavalier,"n, s",a gallant or courtly gentleman; given to haughty disregard of others; a royalist supporter of Charles I during the English Civil War,,"Royalist, chevalier, high-handed"
cede,v,relinquish possession or control over; give over; surrender or relinquish to the physical control of another,The squatters had to surrender the building after the police moved in,"concede, deliver, give up, grant, surrender, yield"
celerity,n,a rate that is rapid,,"quickness, rapidity, rapidness, speediness"
cerebral,a,of or relating to the cerebrum or brain; involving intelligence rather than emotions or instinct,cerebral hemisphere; cerebral activity; a cerebral approach to the problem; cerebral drama,intellectual
charlatan,n,a flamboyant deceiver; one who attracts customers with tricks or jokes,,mountebank
chary,s,characterized by great caution and wariness,chary of the risks involved; a cagey avoidance of a definite answer; a chary investor,"cagey, cagy"
chastened,v,censure severely; restrain; correct by punishment or discipline,She chastised him for his insensitive remarks,"castigate, chasten, chastise, correct, moderate, objurgate, subdue, tame, temper"
chauvinist,n,an extreme bellicose nationalist; a person with a prejudiced belief in the superiority of his or her own kind,,"flag-waver, hundred-percenter, jingo, jingoist, patrioteer"
checkered,"s, v","marked by changeable fortune; patterned with alternating squares of color; mark into squares or draw squares on; draw crossed lines on; variegate with different colors, shades, or patterns",a checkered business career,"check, checked, checker, chequer, chequered"
choleric,s,characterized by anger; easily moved to anger; - H.G.Wells; quickly aroused to anger,a hotheaded commander; men of the choleric type take to kicking and smashing; a choleric outburst; an irascible response,"hot-tempered, hotheaded, irascible, quick-tempered, short-tempered"
churlish,s,rude and boorish; having a bad disposition; surly; - Shakespeare,churlish as a bear,
circumbulate,,,,
circumlocution,n,an indirect way of expressing something; a style that involves indirect ways of expressing things,,"ambage, indirect expression, periphrasis"
coeval,"n, s",a person of nearly the same age as another; of the same period,,"coetaneous, contemporaneous, contemporary"
coeval,"n, s",a person of nearly the same age as another; of the same period,,"coetaneous, contemporaneous, contemporary"
complaisant,s,showing a cheerful willingness to do favors for others,to close one's eyes like a complaisant husband whose wife has taken a lover; the obliging waiter was in no hurry for us to leave,obliging
complected,v,be interwoven or interconnected,The bones are interconnected via the muscle,"complect, interconnect, interlink"
concede,v,acknowledge defeat; give over; surrender or relinquish to the physical control of another; be willing to concede; admit (to a wrongdoing),The candidate conceded after enough votes had come in to show that he would lose; I grant you this much; She confessed that she had taken the money,"cede, confess, grant, profess, yield"
concerted,"s, v",settle by agreement; involving the joint activity of two or more; contrive (a plan) by mutual agreement,a united effort; the conjunctive focus of political opposition; concerted action; joint military activities; the conjunct influence of fire and strong wind; concert one's differences; a cooperative effort,"concert, conjunct, conjunctive, cooperative"
conciliate,v,make (one thing) compatible with (another); cause to be more favorably inclined; gain the good will of; come to terms,The scientists had to accommodate the new results with the existing theories; After some discussion we finally made up; She managed to mollify the angry customer,"accommodate, appease, assuage, gentle, gruntle, lenify, make up, mollify, pacify, patch up, placate, reconcile, settle"
concomitant,"n, s",following or accompanying as a consequence; an event or situation that happens at the same time as or in connection with another,"an excessive growth of bureaucracy, with attendant problems; snags incidental to the changeover in management; attendant circumstances; the resultant savings were considerable; the period of tension and consequent need for military preparedness; the ensuant response to his appeal","accompaniment, accompanying, attendant, co-occurrence, consequent, ensuant, incidental, resultant, sequent"
concupiscence,n,a desire for sexual intimacy,,"eros, physical attraction, sexual desire"
condign,s,fitting or appropriate and deserved; used especially of punishment,condign censure,
